rank,id,name,score,top3_stability_pct,concurrency,correctness,latency,recall,breadth,ops_burden,local_first,rust_fit,queryability,survival
1,sqlite-wal,SQLite (WAL) + FTS5 + sqlite-vec,4.735,100.0,4,5,5,3,4,5,5,5,5,5
2,libsql,libSQL (Turso's C fork of SQLite),4.618,100.0,4,5,5,3,4,5,5,5,5,4
3,graphqlite,"GraphQLite (SQLite extension, openCypher)",4.382,95.9,4,5,5,3,5,5,5,4,5,2
4,turso-db,"Turso Database (SQLite rewritten in Rust, ex-Limbo)",4.118,3.6,4,4,4,3,3,5,5,5,4,3
5,postgres-pgvector,PostgreSQL 18 + pgvector,4.000,0.5,5,4,3,4,4,3,3,5,5,5
6,paradedb,ParadeDB (pg_search / pg_analytics),3.882,0.1,5,4,3,5,5,2,3,5,5,4
7,pgvectorscale,pgvectorscale (StreamingDiskANN),3.794,0.0,5,4,3,5,4,2,3,5,5,4
8,apache-age,Apache AGE (openCypher in Postgres),3.706,0.0,5,4,3,4,5,2,3,5,5,3
9,lmdb,LMDB,3.471,0.0,3,5,5,0,0,5,4,4,0,5
10,surrealdb,SurrealDB,3.441,0.0,3,3,3,3,5,3,3,5,4,3
11,mysql-mariadb,MySQL 9 / MariaDB 11.8 (native VECTOR),3.412,0.0,4,4,3,2,3,3,2,3,5,5
12,redis8,Redis 8 (vector sets) / Valkey + valkey-search,3.382,0.0,5,3,4,3,3,3,3,5,2,4
13,dolt,"Dolt (Git-for-data, MySQL-compatible)",3.235,0.0,2,5,2,0,2,3,4,3,5,3
14,mongodb,MongoDB / FerretDB,3.206,0.0,4,4,3,2,3,3,2,4,3,4
15,ducklake,DuckLake (DuckDB + Postgres catalog),2.353,0.0,1,4,1,2,2,1,2,1,4,4
16,terminusdb,TerminusDB,2.206,0.0,2,4,2,1,3,2,2,2,2,1
