rank,id,tier,weighted,quota_value,quota_ceiling,price_floor,guardrail_freedom,coding_power,web_access,context_limits,harness_fit,throughput,reliability,privacy
1,zai-api,B,4.031,1,5,5,4,5,5,5,5,4,4,2
2,opencode-go,A,4.000,5,3,5,4,5,1,5,5,3,4,4
3,zai-glm-coding,A,3.906,4,4,4,4,5,5,4,5,4,3,2
4,openrouter,B,3.875,1,5,5,4,5,2,5,5,3,4,3
5,xai-grok-api,B,3.750,1,5,3,5,5,4,4,3,4,4,3
6,venice,A,3.719,2,2,4,5,3,4,3,3,3,4,5
7,opencode-zen,B,3.719,1,5,5,3,5,0,5,5,4,4,4
8,minimax-token-plan,A,3.625,5,5,5,4,3,0,5,5,4,3,2
9,synthetic-new,A,3.531,3,4,3,4,4,0,3,5,4,4,4
10,deepseek-api,B,3.500,1,5,5,4,4,0,5,5,4,4,2
11,nous-portal,A,3.469,1,2,4,5,3,5,2,3,3,3,4
12,chutes,A,3.375,4,3,5,5,5,0,4,3,2,2,3
13,cerebras-code,A,3.250,5,5,2,4,3,0,2,3,5,3,4
14,kimi-code,A,3.188,3,3,3,4,5,0,5,5,2,3,2
15,xiaomi-mimo-plan,A,3.125,4,4,5,4,3,0,5,3,3,2,2
16,alibaba-coding-plan,A,2.969,3,4,3,3,5,0,4,4,3,3,2
17,factory-droid,A,2.938,2,3,4,1,5,4,3,3,3,3,3
18,llmgateway-devpass,A,2.906,3,4,2,1,5,0,5,5,3,3,3
19,stepfun-step-plan,A,2.844,4,3,5,4,2,0,3,3,3,2,2
20,cohere-command-code,A,2.781,2,2,4,1,3,3,3,3,3,3,4
