rank,id,tier,weighted,quota_value,quota_ceiling,price_floor,guardrail_freedom,coding_power,web_access,context_limits,harness_fit,throughput,reliability,privacy
1,zai-api,B,4.237,1,5,5,4,5,5,5,5,4,4,2
2,opencode-go,A,4.184,5,3,5,4,5,1,5,5,3,4,4
3,opencode-zen,B,4.132,1,5,5,3,5,0,5,5,4,4,4
4,openrouter,B,4.105,1,5,5,4,5,2,5,5,3,4,3
5,zai-glm-coding,A,4.079,4,4,4,4,5,5,4,5,4,3,2
6,minimax-token-plan,A,4.053,5,5,5,4,3,0,5,5,4,3,2
7,deepseek-api,B,3.974,1,5,5,4,4,0,5,5,4,4,2
8,xai-grok-api,B,3.895,1,5,3,5,5,4,4,3,4,4,3
9,synthetic-new,A,3.789,3,4,3,4,4,0,3,5,4,4,4
10,llmgateway-devpass,A,3.658,3,4,2,1,5,0,5,5,3,3,3
11,kimi-code,A,3.632,3,3,3,4,5,0,5,5,2,3,2
12,cerebras-code,A,3.526,5,5,2,4,3,0,2,3,5,3,4
13,alibaba-coding-plan,A,3.526,3,4,3,3,5,0,4,4,3,3,2
14,chutes,A,3.395,4,3,5,5,5,0,4,3,2,2,3
15,xiaomi-mimo-plan,A,3.368,4,4,5,4,3,0,5,3,3,2,2
16,venice,A,3.211,2,2,4,5,3,4,3,3,3,4,5
17,factory-droid,A,3.079,2,3,4,1,5,4,3,3,3,3,3
18,nous-portal,A,2.868,1,2,4,5,3,5,2,3,3,3,4
19,stepfun-step-plan,A,2.842,4,3,5,4,2,0,3,3,3,2,2
20,cohere-command-code,A,2.711,2,2,4,1,3,3,3,3,3,3,4
