crate              latest         released       recent 90d       all-time
hmac               0.13.0         2026-03-29    124,814,080    510,206,446
sha2               0.11.0         2026-03-25    217,349,865    823,520,838
subtle             2.6.1          2024-06-24    145,951,968    625,178,160
constant_time_eq   0.5.0          2026-04-20     59,620,845    283,255,782
ring               0.17.14        2025-03-11    146,382,511    664,135,411
hex                0.4.3          2021-03-03    128,578,970    582,268,864
teloxide           0.17.0         2025-07-11        595,775      1,755,275
teloxide-core      0.13.0         2025-07-11        603,996      1,752,754
frankenstein       0.50.2         2026-07-03         11,134        189,245
telegram-bot-raw   0.8.0          2020-11-14          8,577         99,999
telegram-bot       0.8.0          2020-11-14          8,865        163,789
reqwest            0.13.4         2026-05-25    158,897,344    631,906,398
ureq               3.4.0          2026-08-08     49,050,966    174,592,220
hyper-rustls       0.27.9         2026-04-14    136,875,286    565,908,723
rustls             0.23.43        2026-07-29    182,186,200    821,399,223
