rank,id,name,usd_mo,total,cost,permissiveness,availability,network,locations,performance,ops,top5_pct,mean_rank,confidence
1,oracle,Oracle Cloud (Ampere A1),0.0,100.0,100.0,8.2,26.2,54.6,94.3,61.0,100.0,100.0,1.0,high
2,hosthatch,HostHatch,2.42,89.21,89.2,83.8,53.5,68.8,43.1,77.5,85.0,100.0,2.0,medium
3,virmach,VirMach,3.5,79.59,79.6,83.8,32.3,36.9,51.8,33.5,60.0,84.2,4.1,low
4,racknerd,RackNerd,3.62,78.71,78.7,83.8,48.5,55.9,51.8,38.5,55.0,97.6,4.1,medium
5,contabo,Contabo,4.91,78.7,78.7,43.0,48.5,45.3,61.9,47.5,85.0,100.0,4.1,high
6,hetzner,Hetzner Cloud,4.13,75.27,75.3,31.8,81.0,64.2,46.3,82.5,80.0,12.9,6.0,high
7,greencloud,GreenCloudVPS,5.0,70.29,70.3,83.8,53.5,55.2,57.6,65.0,85.0,5.0,8.5,low
8,liteserver,LiteServer,5.45,68.05,68.0,83.8,64.8,72.1,5.7,65.0,30.0,0.3,10.1,low
9,netcup,netcup,7.62,67.22,67.2,43.0,60.5,70.5,29.3,65.0,55.0,0.0,10.4,medium
10,hostinger,Hostinger VPS,7.99,65.98,66.0,41.8,64.8,62.7,56.7,65.0,85.0,0.0,11.7,medium
11,zomro,Zomro,6.0,65.56,65.6,88.8,53.5,51.2,23.6,52.5,30.0,0.0,12.2,low
12,vdsina,VDSina,6.0,65.54,65.5,83.8,53.5,51.2,34.0,65.0,100.0,0.0,12.3,low
13,servarica,Servarica,6.0,65.54,65.5,83.8,69.8,68.8,17.0,46.0,55.0,0.0,12.2,low
14,advinservers,Advin Servers,6.0,65.54,65.5,83.8,64.8,77.5,46.3,77.5,85.0,0.0,12.1,medium
15,time4vps,Time4VPS,6.53,63.34,63.3,66.2,64.8,61.9,5.7,56.0,85.0,0.0,14.1,low
16,vpsdime,VPSDime,7.0,61.52,61.5,83.8,71.7,68.8,29.3,56.0,30.0,0.0,15.8,low
17,ovh,OVHcloud,7.09,61.21,61.2,56.2,64.8,56.5,66.9,65.0,85.0,0.0,16.6,medium
18,pqhosting,PQ.Hosting,7.52,59.65,59.7,83.8,53.5,51.2,88.6,65.0,85.0,0.0,17.3,low
19,webdock,Webdock,8.18,57.48,57.5,56.2,69.8,72.1,29.3,70.0,100.0,0.0,19.1,low
20,ovhkimsufi,OVH Kimsufi / SoYouStart,15.26,57.03,57.0,56.2,63.5,56.5,29.3,51.0,60.0,0.0,19.4,low
21,hostslick,HostSlick,8.72,55.8,55.8,83.8,53.5,60.0,29.3,65.0,55.0,0.0,20.2,low
22,ionos,IONOS,13.08,53.14,53.1,25.5,76.7,67.5,45.3,70.0,85.0,0.0,22.0,low
23,hostkey,HOSTKEY,9.81,52.73,52.7,77.5,69.8,67.5,37.6,70.0,100.0,0.0,22.4,low
24,scaleway,Scaleway,11.99,47.5,47.5,25.5,69.8,63.6,23.6,70.0,80.0,0.0,26.4,low
25,hivelocity,Hivelocity,12.0,47.48,47.5,66.2,76.7,63.4,88.6,82.5,100.0,0.0,26.5,low
26,interserver,InterServer,12.0,47.48,47.5,59.2,69.8,69.4,23.6,61.0,85.0,0.0,26.3,medium
27,incognet,IncogNET,12.0,47.48,47.5,100.0,69.8,62.5,40.6,82.5,55.0,0.0,26.3,medium
28,gcore,Gcore,13.08,45.23,45.2,31.8,71.9,68.1,86.6,82.5,100.0,0.0,28.5,low
29,melbicom,Melbicom,13.08,45.23,45.2,77.5,74.6,62.5,83.8,70.0,85.0,0.0,28.6,medium
30,ultahost,UltaHost,14.0,43.46,43.5,59.2,53.5,60.0,54.6,65.0,55.0,0.0,30.2,low
31,alibaba,Alibaba Cloud,15.0,41.66,41.7,2.0,69.0,47.7,77.1,56.0,100.0,0.0,32.0,low
32,cloudzy,Cloudzy,15.95,40.06,40.1,83.8,55.6,51.2,66.9,65.0,55.0,0.0,33.7,low
33,tencent,Tencent Cloud,16.0,39.98,40.0,2.0,69.0,47.7,66.7,56.0,100.0,0.0,33.8,low
34,vpsserver,VPSServer.com,16.0,39.98,40.0,59.2,71.7,60.6,77.3,65.0,100.0,0.0,33.7,low
35,abelohost,AbeloHost,16.35,39.42,39.4,100.0,69.8,55.9,17.0,61.0,30.0,0.0,34.5,medium
36,scalahosting,ScalaHosting,16.95,38.48,38.5,31.8,69.8,60.0,39.7,70.0,55.0,0.0,35.4,low
37,1984hosting,1984 Hosting,17.44,37.73,37.7,83.8,69.8,71.3,17.0,61.0,85.0,0.0,36.2,low
38,upcloud,UpCloud,18.0,36.91,36.9,43.0,100.0,76.9,64.6,100.0,100.0,0.0,37.3,medium
39,orangewebsite,OrangeWebsite,19.62,34.66,34.7,100.0,69.8,61.9,5.7,48.5,30.0,0.0,39.7,low
40,m247,M247,19.62,34.66,34.7,67.5,69.8,58.8,100.0,61.0,85.0,0.0,39.7,low
41,vultr,Vultr,20.0,34.16,34.2,53.0,95.0,58.5,96.4,73.5,100.0,0.0,40.5,high
42,civo,Civo,20.0,34.16,34.2,43.0,69.8,76.2,39.7,82.5,100.0,0.0,40.4,low
43,kamatera,Kamatera,22.0,31.68,31.7,67.5,71.9,61.3,80.3,73.5,100.0,0.0,43.6,medium
44,buyvm,BuyVM (FranTech),30.0,31.5,31.5,100.0,74.8,67.5,29.3,66.0,85.0,0.0,43.5,high
45,exoscale,Exoscale,22.89,30.65,30.6,25.5,71.9,69.4,34.9,73.5,100.0,0.0,44.9,low
46,flokinet,FlokiNET,23.98,29.43,29.4,100.0,69.8,53.8,28.3,61.0,30.0,0.0,47.0,medium
47,digitalocean,DigitalOcean,24.0,29.41,29.4,25.5,88.0,59.4,66.9,73.5,100.0,0.0,47.4,high
