rank,id,name,usd_mo,total,cost,permissiveness,availability,network,locations,performance,ops,top5_pct,mean_rank,confidence
1,buyvm,BuyVM (FranTech),30.0,100.0,31.5,100.0,74.8,67.5,29.3,66.0,85.0,0.0,7.0,high
2,flokinet,FlokiNET,23.98,100.0,29.4,100.0,69.8,53.8,28.3,61.0,30.0,0.0,6.0,medium
3,abelohost,AbeloHost,16.35,100.0,39.4,100.0,69.8,55.9,17.0,61.0,30.0,0.0,8.0,medium
4,shinjiru,Shinjiru,25.0,100.0,28.3,100.0,69.8,52.3,43.3,61.0,30.0,100.0,1.0,medium
5,orangewebsite,OrangeWebsite,19.62,100.0,34.7,100.0,69.8,61.9,5.7,48.5,30.0,100.0,3.0,low
6,njalla,Njalla,32.7,100.0,21.4,100.0,37.5,53.8,17.0,61.0,30.0,100.0,4.0,low
7,incognet,IncogNET,12.0,100.0,47.5,100.0,69.8,62.5,40.6,82.5,55.0,100.0,5.0,medium
8,prq,PRQ,32.7,100.0,21.4,100.0,37.5,60.0,5.7,48.5,30.0,100.0,2.0,low
9,zomro,Zomro,6.0,88.75,65.6,88.8,53.5,51.2,23.6,52.5,30.0,0.0,9.0,low
10,liteserver,LiteServer,5.45,83.75,68.0,83.8,64.8,72.1,5.7,65.0,30.0,0.0,16.0,low
11,vdsina,VDSina,6.0,83.75,65.5,83.8,53.5,51.2,34.0,65.0,100.0,0.0,12.0,low
12,pqhosting,PQ.Hosting,7.52,83.75,59.7,83.8,53.5,51.2,88.6,65.0,85.0,0.0,15.0,low
13,racknerd,RackNerd,3.62,83.75,78.7,83.8,48.5,55.9,51.8,38.5,55.0,0.0,14.0,medium
14,hosthatch,HostHatch,2.42,83.75,89.2,83.8,53.5,68.8,43.1,77.5,85.0,0.0,18.0,medium
15,greencloud,GreenCloudVPS,5.0,83.75,70.3,83.8,53.5,55.2,57.6,65.0,85.0,0.0,19.0,low
16,servarica,Servarica,6.0,83.75,65.5,83.8,69.8,68.8,17.0,46.0,55.0,0.0,13.0,low
17,advinservers,Advin Servers,6.0,83.75,65.5,83.8,64.8,77.5,46.3,77.5,85.0,0.0,21.0,medium
18,virmach,VirMach,3.5,83.75,79.6,83.8,32.3,36.9,51.8,33.5,60.0,0.0,11.0,low
19,vpsdime,VPSDime,7.0,83.75,61.5,83.8,71.7,68.8,29.3,56.0,30.0,0.0,10.0,low
20,cloudzy,Cloudzy,15.95,83.75,40.1,83.8,55.6,51.2,66.9,65.0,55.0,0.0,20.0,low
21,1984hosting,1984 Hosting,17.44,83.75,37.7,83.8,69.8,71.3,17.0,61.0,85.0,0.0,22.0,low
22,hostslick,HostSlick,8.72,83.75,55.8,83.8,53.5,60.0,29.3,65.0,55.0,0.0,17.0,low
23,hostkey,HOSTKEY,9.81,77.5,52.7,77.5,69.8,67.5,37.6,70.0,100.0,0.0,24.0,low
24,melbicom,Melbicom,13.08,77.5,45.2,77.5,74.6,62.5,83.8,70.0,85.0,0.0,23.0,medium
25,kamatera,Kamatera,22.0,67.5,31.7,67.5,71.9,61.3,80.3,73.5,100.0,0.0,26.0,medium
26,m247,M247,19.62,67.5,34.7,67.5,69.8,58.8,100.0,61.0,85.0,0.0,25.0,low
27,time4vps,Time4VPS,6.53,66.25,63.3,66.2,64.8,61.9,5.7,56.0,85.0,0.0,27.0,low
28,hivelocity,Hivelocity,12.0,66.25,47.5,66.2,76.7,63.4,88.6,82.5,100.0,0.0,28.0,low
29,latitude,Latitude.sh,110.0,60.0,13.5,60.0,81.7,89.2,75.6,100.0,75.0,0.0,29.0,low
30,interserver,InterServer,12.0,59.25,47.5,59.2,69.8,69.4,23.6,61.0,85.0,0.0,32.0,medium
31,hostwinds,Hostwinds,28.99,59.25,24.5,59.2,83.7,58.5,29.3,61.0,100.0,0.0,33.0,low
32,ultahost,UltaHost,14.0,59.25,43.5,59.2,53.5,60.0,54.6,65.0,55.0,0.0,31.0,low
33,vpsserver,VPSServer.com,16.0,59.25,40.0,59.2,71.7,60.6,77.3,65.0,100.0,0.0,30.0,low
34,ovh,OVHcloud,7.09,56.25,61.2,56.2,64.8,56.5,66.9,65.0,85.0,0.0,36.0,medium
35,webdock,Webdock,8.18,56.25,57.5,56.2,69.8,72.1,29.3,70.0,100.0,0.0,34.0,low
36,ovhkimsufi,OVH Kimsufi / SoYouStart,15.26,56.25,57.0,56.2,63.5,56.5,29.3,51.0,60.0,0.0,35.0,low
37,vultr,Vultr,20.0,53.0,34.2,53.0,95.0,58.5,96.4,73.5,100.0,0.0,37.0,high
38,netcup,netcup,7.62,43.0,67.2,43.0,60.5,70.5,29.3,65.0,55.0,0.0,39.0,medium
39,contabo,Contabo,4.91,43.0,78.7,43.0,48.5,45.3,61.9,47.5,85.0,0.0,40.0,high
40,upcloud,UpCloud,18.0,43.0,36.9,43.0,100.0,76.9,64.6,100.0,100.0,0.0,38.0,medium
41,civo,Civo,20.0,43.0,34.2,43.0,69.8,76.2,39.7,82.5,100.0,0.0,41.0,low
42,phoenixnap,phoenixNAP,30.0,41.75,23.6,41.8,100.0,79.6,61.2,87.5,100.0,0.0,42.0,low
43,hostinger,Hostinger VPS,7.99,41.75,66.0,41.8,64.8,62.7,56.7,65.0,85.0,0.0,43.0,medium
44,hetzner,Hetzner Cloud,4.13,31.75,75.3,31.8,81.0,64.2,46.3,82.5,80.0,0.0,45.0,high
45,gcore,Gcore,13.08,31.75,45.2,31.8,71.9,68.1,86.6,82.5,100.0,0.0,46.0,low
46,scalahosting,ScalaHosting,16.95,31.75,38.5,31.8,69.8,60.0,39.7,70.0,55.0,0.0,44.0,low
47,ionos,IONOS,13.08,25.5,53.1,25.5,76.7,67.5,45.3,70.0,85.0,0.0,49.0,low
48,scaleway,Scaleway,11.99,25.5,47.5,25.5,69.8,63.6,23.6,70.0,80.0,0.0,47.0,low
49,exoscale,Exoscale,22.89,25.5,30.6,25.5,71.9,69.4,34.9,73.5,100.0,0.0,50.0,low
50,digitalocean,DigitalOcean,24.0,25.5,29.4,25.5,88.0,59.4,66.9,73.5,100.0,0.0,51.0,high
51,linode,Akamai (Linode),24.0,25.5,29.4,25.5,88.0,66.9,81.6,82.5,100.0,0.0,48.0,high
52,lightsail,AWS Lightsail,24.0,14.5,29.4,14.5,88.0,50.6,80.9,73.5,100.0,0.0,52.0,high
53,gcp,Google Cloud (e2-medium),32.0,8.25,21.9,8.2,88.0,43.9,100.0,73.5,80.0,0.0,54.0,medium
54,azure,Microsoft Azure (B2s),35.0,8.25,19.6,8.2,88.0,39.6,100.0,61.0,80.0,0.0,55.0,medium
55,oracle,Oracle Cloud (Ampere A1),0.0,8.25,100.0,8.2,26.2,54.6,94.3,61.0,100.0,0.0,53.0,high
56,alibaba,Alibaba Cloud,15.0,2.0,41.7,2.0,69.0,47.7,77.1,56.0,100.0,0.0,57.0,low
57,tencent,Tencent Cloud,16.0,2.0,40.0,2.0,69.0,47.7,66.7,56.0,100.0,0.0,56.0,low
