rank,id,name,usd_mo,total,cost,permissiveness,availability,network,locations,performance,ops,top5_pct,mean_rank,confidence
1,hosthatch,HostHatch,2.42,72.98,89.2,83.8,53.5,68.8,43.1,77.5,85.0,100.0,1.1,medium
2,advinservers,Advin Servers,6.0,71.04,65.5,83.8,64.8,77.5,46.3,77.5,85.0,100.0,2.0,medium
3,incognet,IncogNET,12.0,69.04,47.5,100.0,69.8,62.5,40.6,82.5,55.0,81.3,4.0,medium
4,greencloud,GreenCloudVPS,5.0,67.34,70.3,83.8,53.5,55.2,57.6,65.0,85.0,35.1,6.9,low
5,melbicom,Melbicom,13.08,67.33,45.2,77.5,74.6,62.5,83.8,70.0,85.0,38.9,6.7,medium
6,pqhosting,PQ.Hosting,7.52,67.25,59.7,83.8,53.5,51.2,88.6,65.0,85.0,34.8,7.1,low
7,vpsdime,VPSDime,7.0,67.05,61.5,83.8,71.7,68.8,29.3,56.0,30.0,27.1,7.3,low
8,racknerd,RackNerd,3.62,66.9,78.7,83.8,48.5,55.9,51.8,38.5,55.0,25.3,8.2,medium
9,servarica,Servarica,6.0,66.36,65.5,83.8,69.8,68.8,17.0,46.0,55.0,15.2,8.9,low
10,hivelocity,Hivelocity,12.0,66.23,47.5,66.2,76.7,63.4,88.6,82.5,100.0,19.3,9.3,low
11,liteserver,LiteServer,5.45,65.79,68.0,83.8,64.8,72.1,5.7,65.0,30.0,9.4,10.5,low
12,buyvm,BuyVM (FranTech),30.0,65.58,31.5,100.0,74.8,67.5,29.3,66.0,85.0,12.5,10.9,high
13,hostkey,HOSTKEY,9.81,64.57,52.7,77.5,69.8,67.5,37.6,70.0,100.0,0.0,13.3,low
14,vdsina,VDSina,6.0,63.36,65.5,83.8,53.5,51.2,34.0,65.0,100.0,0.0,16.8,low
15,abelohost,AbeloHost,16.35,62.78,39.4,100.0,69.8,55.9,17.0,61.0,30.0,0.0,18.6,medium
16,zomro,Zomro,6.0,62.65,65.6,88.8,53.5,51.2,23.6,52.5,30.0,0.0,19.2,low
17,vultr,Vultr,20.0,62.34,34.2,53.0,95.0,58.5,96.4,73.5,100.0,0.4,19.0,high
18,shinjiru,Shinjiru,25.0,62.18,28.3,100.0,69.8,52.3,43.3,61.0,30.0,0.0,20.7,medium
19,m247,M247,19.62,61.85,34.7,67.5,69.8,58.8,100.0,61.0,85.0,0.0,20.7,low
20,upcloud,UpCloud,18.0,61.65,36.9,43.0,100.0,76.9,64.6,100.0,100.0,0.6,21.2,medium
21,hostslick,HostSlick,8.72,61.5,55.8,83.8,53.5,60.0,29.3,65.0,55.0,0.0,22.8,low
22,flokinet,FlokiNET,23.98,61.18,29.4,100.0,69.8,53.8,28.3,61.0,30.0,0.0,24.8,medium
23,orangewebsite,OrangeWebsite,19.62,61.1,34.7,100.0,69.8,61.9,5.7,48.5,30.0,0.0,24.7,low
24,virmach,VirMach,3.5,61.04,79.6,83.8,32.3,36.9,51.8,33.5,60.0,0.0,24.3,low
25,1984hosting,1984 Hosting,17.44,60.84,37.7,83.8,69.8,71.3,17.0,61.0,85.0,0.0,25.0,low
26,ovh,OVHcloud,7.09,60.62,61.2,56.2,64.8,56.5,66.9,65.0,85.0,0.0,24.7,medium
27,kamatera,Kamatera,22.0,60.47,31.7,67.5,71.9,61.3,80.3,73.5,100.0,0.0,25.9,medium
28,cloudzy,Cloudzy,15.95,60.46,40.1,83.8,55.6,51.2,66.9,65.0,55.0,0.0,26.4,low
29,latitude,Latitude.sh,110.0,60.32,13.5,60.0,81.7,89.2,75.6,100.0,75.0,0.0,25.6,low
30,hetzner,Hetzner Cloud,4.13,59.71,75.3,31.8,81.0,64.2,46.3,82.5,80.0,0.0,26.6,high
31,webdock,Webdock,8.18,59.67,57.5,56.2,69.8,72.1,29.3,70.0,100.0,0.0,27.7,low
32,vpsserver,VPSServer.com,16.0,59.48,40.0,59.2,71.7,60.6,77.3,65.0,100.0,0.0,28.7,low
33,time4vps,Time4VPS,6.53,58.41,63.3,66.2,64.8,61.9,5.7,56.0,85.0,0.0,31.6,low
34,phoenixnap,phoenixNAP,30.0,57.83,23.6,41.8,100.0,79.6,61.2,87.5,100.0,0.0,32.5,low
35,hostinger,Hostinger VPS,7.99,57.68,66.0,41.8,64.8,62.7,56.7,65.0,85.0,0.0,32.9,medium
36,interserver,InterServer,12.0,56.68,47.5,59.2,69.8,69.4,23.6,61.0,85.0,0.0,36.4,medium
37,netcup,netcup,7.62,55.78,67.2,43.0,60.5,70.5,29.3,65.0,55.0,0.0,38.0,medium
38,gcore,Gcore,13.08,55.72,45.2,31.8,71.9,68.1,86.6,82.5,100.0,0.0,37.6,low
39,contabo,Contabo,4.91,55.37,78.7,43.0,48.5,45.3,61.9,47.5,85.0,0.0,38.9,high
40,ovhkimsufi,OVH Kimsufi / SoYouStart,15.26,54.97,57.0,56.2,63.5,56.5,29.3,51.0,60.0,0.0,40.0,low
41,ultahost,UltaHost,14.0,54.21,43.5,59.2,53.5,60.0,54.6,65.0,55.0,0.0,41.4,low
42,hostwinds,Hostwinds,28.99,52.67,24.5,59.2,83.7,58.5,29.3,61.0,100.0,0.0,43.8,low
43,civo,Civo,20.0,52.44,34.2,43.0,69.8,76.2,39.7,82.5,100.0,0.0,44.3,low
44,linode,Akamai (Linode),24.0,52.37,29.4,25.5,88.0,66.9,81.6,82.5,100.0,0.0,44.1,high
45,njalla,Njalla,32.7,52.31,21.4,100.0,37.5,53.8,17.0,61.0,30.0,0.0,44.0,low
46,oracle,Oracle Cloud (Ampere A1),0.0,52.03,100.0,8.2,26.2,54.6,94.3,61.0,100.0,0.0,43.7,high
47,ionos,IONOS,13.08,51.98,53.1,25.5,76.7,67.5,45.3,70.0,85.0,0.0,44.9,low
48,prq,PRQ,32.7,51.8,21.4,100.0,37.5,60.0,5.7,48.5,30.0,0.0,45.0,low
49,digitalocean,DigitalOcean,24.0,49.43,29.4,25.5,88.0,59.4,66.9,73.5,100.0,0.0,48.0,high
50,scalahosting,ScalaHosting,16.95,46.9,38.5,31.8,69.8,60.0,39.7,70.0,55.0,0.0,50.5,low
51,scaleway,Scaleway,11.99,46.53,47.5,25.5,69.8,63.6,23.6,70.0,80.0,0.0,51.0,low
52,lightsail,AWS Lightsail,24.0,46.35,29.4,14.5,88.0,50.6,80.9,73.5,100.0,0.0,51.0,high
53,exoscale,Exoscale,22.89,45.22,30.6,25.5,71.9,69.4,34.9,73.5,100.0,0.0,52.5,low
54,gcp,Google Cloud (e2-medium),32.0,43.44,21.9,8.2,88.0,43.9,100.0,73.5,80.0,0.0,53.5,medium
55,azure,Microsoft Azure (B2s),35.0,41.81,19.6,8.2,88.0,39.6,100.0,61.0,80.0,0.0,55.3,medium
56,alibaba,Alibaba Cloud,15.0,40.99,41.7,2.0,69.0,47.7,77.1,56.0,100.0,0.0,55.6,low
57,tencent,Tencent Cloud,16.0,39.55,40.0,2.0,69.0,47.7,66.7,56.0,100.0,0.0,56.7,low
