rank,id,name,usd_mo,total,cost,permissiveness,availability,network,locations,performance,ops,top5_pct,mean_rank,confidence
1,upcloud,UpCloud,18.0,84.87,36.9,43.0,100.0,76.9,64.6,100.0,100.0,100.0,1.0,medium
2,phoenixnap,phoenixNAP,30.0,82.82,23.6,41.8,100.0,79.6,61.2,87.5,100.0,100.0,2.1,low
3,latitude,Latitude.sh,110.0,80.33,13.5,60.0,81.7,89.2,75.6,100.0,75.0,100.0,3.1,low
4,vultr,Vultr,20.0,78.18,34.2,53.0,95.0,58.5,96.4,73.5,100.0,99.6,3.9,high
5,hivelocity,Hivelocity,12.0,75.71,47.5,66.2,76.7,63.4,88.6,82.5,100.0,79.1,5.2,low
6,linode,Akamai (Linode),24.0,74.57,29.4,25.5,88.0,66.9,81.6,82.5,100.0,20.6,6.4,high
7,advinservers,Advin Servers,6.0,72.62,65.5,83.8,64.8,77.5,46.3,77.5,85.0,0.6,8.4,medium
8,melbicom,Melbicom,13.08,72.48,45.2,77.5,74.6,62.5,83.8,70.0,85.0,0.0,8.3,medium
9,buyvm,BuyVM (FranTech),30.0,72.47,31.5,100.0,74.8,67.5,29.3,66.0,85.0,0.1,8.8,high
10,kamatera,Kamatera,22.0,71.49,31.7,67.5,71.9,61.3,80.3,73.5,100.0,0.0,11.0,medium
11,hostkey,HOSTKEY,9.81,71.17,52.7,77.5,69.8,67.5,37.6,70.0,100.0,0.0,12.3,low
12,digitalocean,DigitalOcean,24.0,70.98,29.4,25.5,88.0,59.4,66.9,73.5,100.0,0.0,12.3,high
13,gcore,Gcore,13.08,70.65,45.2,31.8,71.9,68.1,86.6,82.5,100.0,0.0,13.1,low
14,incognet,IncogNET,12.0,70.25,47.5,100.0,69.8,62.5,40.6,82.5,55.0,0.0,15.0,medium
15,civo,Civo,20.0,70.21,34.2,43.0,69.8,76.2,39.7,82.5,100.0,0.0,14.8,low
16,hetzner,Hetzner Cloud,4.13,69.94,75.3,31.8,81.0,64.2,46.3,82.5,80.0,0.0,15.7,high
17,hostwinds,Hostwinds,28.99,69.48,24.5,59.2,83.7,58.5,29.3,61.0,100.0,0.0,17.2,low
18,webdock,Webdock,8.18,69.27,57.5,56.2,69.8,72.1,29.3,70.0,100.0,0.0,17.9,low
19,vpsserver,VPSServer.com,16.0,69.16,40.0,59.2,71.7,60.6,77.3,65.0,100.0,0.0,18.1,low
20,lightsail,AWS Lightsail,24.0,68.62,29.4,14.5,88.0,50.6,80.9,73.5,100.0,0.0,19.4,high
21,1984hosting,1984 Hosting,17.44,68.35,37.7,83.8,69.8,71.3,17.0,61.0,85.0,0.0,20.4,low
22,m247,M247,19.62,67.95,34.7,67.5,69.8,58.8,100.0,61.0,85.0,0.0,21.5,low
23,hosthatch,HostHatch,2.42,67.49,89.2,83.8,53.5,68.8,43.1,77.5,85.0,0.0,22.1,medium
24,ionos,IONOS,13.08,66.28,53.1,25.5,76.7,67.5,45.3,70.0,85.0,0.0,24.7,low
25,exoscale,Exoscale,22.89,65.77,30.6,25.5,71.9,69.4,34.9,73.5,100.0,0.0,26.3,low
26,interserver,InterServer,12.0,65.65,47.5,59.2,69.8,69.4,23.6,61.0,85.0,0.0,25.9,medium
27,gcp,Google Cloud (e2-medium),32.0,65.25,21.9,8.2,88.0,43.9,100.0,73.5,80.0,0.0,27.9,medium
28,ovh,OVHcloud,7.09,64.14,61.2,56.2,64.8,56.5,66.9,65.0,85.0,0.0,29.4,medium
29,vpsdime,VPSDime,7.0,63.63,61.5,83.8,71.7,68.8,29.3,56.0,30.0,0.0,30.6,low
30,pqhosting,PQ.Hosting,7.52,63.49,59.7,83.8,53.5,51.2,88.6,65.0,85.0,0.0,31.3,low
31,servarica,Servarica,6.0,63.43,65.5,83.8,69.8,68.8,17.0,46.0,55.0,0.0,31.3,low
32,hostinger,Hostinger VPS,7.99,63.27,66.0,41.8,64.8,62.7,56.7,65.0,85.0,0.0,32.7,medium
33,greencloud,GreenCloudVPS,5.0,63.05,70.3,83.8,53.5,55.2,57.6,65.0,85.0,0.0,33.1,low
34,vdsina,VDSina,6.0,62.44,65.5,83.8,53.5,51.2,34.0,65.0,100.0,0.0,35.6,low
35,azure,Microsoft Azure (B2s),35.0,62.44,19.6,8.2,88.0,39.6,100.0,61.0,80.0,0.0,35.4,medium
36,liteserver,LiteServer,5.45,62.21,68.0,83.8,64.8,72.1,5.7,65.0,30.0,0.0,35.7,low
37,time4vps,Time4VPS,6.53,62.07,63.3,66.2,64.8,61.9,5.7,56.0,85.0,0.0,36.7,low
38,shinjiru,Shinjiru,25.0,62.03,28.3,100.0,69.8,52.3,43.3,61.0,30.0,0.0,35.8,medium
39,abelohost,AbeloHost,16.35,61.76,39.4,100.0,69.8,55.9,17.0,61.0,30.0,0.0,37.2,medium
40,flokinet,FlokiNET,23.98,61.61,29.4,100.0,69.8,53.8,28.3,61.0,30.0,0.0,38.4,medium
41,scaleway,Scaleway,11.99,61.29,47.5,25.5,69.8,63.6,23.6,70.0,80.0,0.0,38.7,low
42,orangewebsite,OrangeWebsite,19.62,60.39,34.7,100.0,69.8,61.9,5.7,48.5,30.0,0.0,42.2,low
43,cloudzy,Cloudzy,15.95,59.56,40.1,83.8,55.6,51.2,66.9,65.0,55.0,0.0,43.6,low
44,scalahosting,ScalaHosting,16.95,59.36,38.5,31.8,69.8,60.0,39.7,70.0,55.0,0.0,43.8,low
45,netcup,netcup,7.62,59.18,67.2,43.0,60.5,70.5,29.3,65.0,55.0,0.0,44.3,medium
46,hostslick,HostSlick,8.72,59.16,55.8,83.8,53.5,60.0,29.3,65.0,55.0,0.0,44.7,low
47,alibaba,Alibaba Cloud,15.0,57.42,41.7,2.0,69.0,47.7,77.1,56.0,100.0,0.0,46.9,low
48,ultahost,UltaHost,14.0,57.12,43.5,59.2,53.5,60.0,54.6,65.0,55.0,0.0,48.4,low
49,ovhkimsufi,OVH Kimsufi / SoYouStart,15.26,57.1,57.0,56.2,63.5,56.5,29.3,51.0,60.0,0.0,48.5,low
50,tencent,Tencent Cloud,16.0,56.85,40.0,2.0,69.0,47.7,66.7,56.0,100.0,0.0,48.7,low
51,racknerd,RackNerd,3.62,54.42,78.7,83.8,48.5,55.9,51.8,38.5,55.0,0.0,50.9,medium
52,zomro,Zomro,6.0,53.65,65.6,88.8,53.5,51.2,23.6,52.5,30.0,0.0,51.8,low
53,contabo,Contabo,4.91,52.28,78.7,43.0,48.5,45.3,61.9,47.5,85.0,0.0,52.7,high
